Tags,Tags,Tags,Tema,Autor,Vida,Obra em que trata o tema,Observações
Comunicação,Política,Filosofia,Llinguagem politicamente correta,George Orwell,1903-1950,"Politics and the English Language
1984 (não formalmente sobre linguagem politicamente correta, mas aborda controle de linguagem e pensamento)",Discutia como a manipulação da linguagem serve ao poder e ao controle social.
Comunicação,Política,Filosofia,Llinguagem politicamente correta,Jordan Peterson,-1962,12 Regras para a Vida,Critica o impacto da cultura do politicamente correto na liberdade individual e na discussão aberta.
Comunicação,Política,Filosofia,Llinguagem politicamente correta,Christopher Hitchens,1949-2011,Hitch-22 (memórias),Critica as restrições à liberdade de expressão sob o pretexto do politicamente correto.
Comunicação,Política,Filosofia,Llinguagem politicamente correta,Camille Paglia,-1947,"Sexual Personae, artigos",Questiona a rigidez moral e a censura moral promovida por uma suposta cultura 'politicamente correta'.
Comunicação,Política,Filosofia,Llinguagem politicamente correta,Dinesh D'Souza,-1959,The End of Racism,Critica a narrativa do politicamente correto como uma forma de manipulação ideológica.
Comunicação,Política,Filosofia,Llinguagem politicamente correta,Roger Kimball,-1953,The Rape of Sense,Apresenta uma crítica cultural conservadora às mudanças sociais influenciadas pelo politicamente correto.
Comunicação,Política,Filosofia,Llinguagem politicamente correta,Geoffrey Hughes,-1941,Political Correctness: A History of Semantics and Culture,"Analisa a origem e evolução da linguagem ligada ao politicamente correto e seus efeitos sociais e culturais. Explora a história, a semântica e as consequências sociais da linguagem politicamente correta. "
Comunicação,Política,Filosofia,Llinguagem politicamente correta,Judith Butler,-1956,"Gender Trouble, Bodies That Matter",Analisa como a linguagem de gênero e normas sociais moldam identidades e podem restringir a liberdade de expressão.
Comunicação,Política,Filosofia,Llinguagem politicamente correta,Yasmin Alibhai-Brown,-1947,In Defence of Political Correctness,Defender do uso da linguagem inclusiva e seus efeitos na construção de uma sociedade mais tolerante.
Comunicação,Política,Filosofia,Llinguagem politicamente correta,Michel Foucault,1926-1984,"Discipline and Punish, The History of Sexuality","Discutiu como o discurso e a norma moldam comportamento e marginalizam discursos contrários, influenciando as formas de controle social."
Comunicação,Política,Filosofia,Llinguagem politicamente correta,Deborah Cameron,-1958,"Verbal Hygiene, The Myth of Mars and Venus","Explora como a linguagem influencia as diferenças de gênero e discute os efeitos das mudanças na linguagem, incluindo o politicamente correto.. Análise acadêmica do impacto da linguagem política e seus efeitos sociais e culturais."